Rate Type,Profile,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Tsamud,1,0.0222,0.0245,0.0289,0.0308,0.032,0.0325,0.033,0.035,0.0356,0.0361,0.0366,0.0371,0.04,0.0403,0.0406,0.041,0.0414,0.0417,0.042,0.0423,0.0427,0.0431,0.0435,0.0439,0.0442,0.0446,0.0449
Tsamud,2,0.0235,0.026,0.03,0.0316,0.0326,0.0334,0.0339,0.0356,0.0362,0.0368,0.0374,0.0382,0.0407,0.0412,0.0416,0.042,0.0424,0.0429,0.0432,0.0435,0.0439,0.0443,0.0447,0.045,0.0454,0.0459,0.0462
Tsamud,3,0.0248,0.0277,0.031,0.0325,0.0334,0.0342,0.0347,0.0364,0.037,0.0376,0.0383,0.0392,0.0416,0.0422,0.0426,0.0431,0.0436,0.044,0.0445,0.0449,0.0454,0.0459,0.0462,0.0466,0.0471,0.0476,0.048
Tsamud,4,0.0269,0.0289,0.033,0.0338,0.0346,0.0352,0.0359,0.0379,0.0385,0.0393,0.0402,0.0407,0.0431,0.0436,0.0442,0.0448,0.0453,0.0459,0.0463,0.0466,0.0472,0.0477,0.0481,0.0484,0.049,0.0495,0.0502
Tsamud,5,0.0285,0.0306,0.0341,0.0348,0.0357,0.0366,0.0369,0.0385,0.0397,0.0408,0.0415,0.042,0.044,0.0453,0.0459,0.0465,0.0469,0.0477,0.0481,0.0485,0.0491,0.0496,0.0501,0.0504,0.0509,0.0514,0.0518
Tsamud,6,0.0297,0.032,0.0352,0.0363,0.0366,0.037,0.0374,0.0401,0.041,0.0419,0.0423,0.0428,0.0456,0.0464,0.0469,0.0473,0.0476,0.05,0.0503,0.0506,0.051,0.0513,0.0516,0.0519,0.0522,0.0525,0.0529
No Tsamud,1,0.0305,0.0332,0.0382,0.0385,0.0389,0.0392,0.0395,0.0407,0.041,0.0413,0.0416,0.042,0.0435,0.0438,0.0441,0.0444,0.045,0.0454,0.0457,0.046,0.0463,0.0466,0.0468,0.0471,0.0474,0.0478,0.0481
No Tsamud,2,0.0319,0.0343,0.0392,0.0395,0.0398,0.0403,0.0406,0.0414,0.0417,0.042,0.0424,0.0427,0.044,0.0448,0.0453,0.0457,0.0461,0.047,0.0474,0.0478,0.0483,0.0486,0.0489,0.0493,0.0497,0.05,0.0503
No Tsamud,3,0.0338,0.0355,0.0402,0.0405,0.0408,0.0411,0.0417,0.0421,0.0425,0.0428,0.0431,0.0435,0.045,0.0459,0.0465,0.047,0.0476,0.0483,0.0489,0.0496,0.0502,0.0508,0.0513,0.0518,0.0522,0.0526,0.053
No Tsamud,4,0.0352,0.0369,0.0412,0.0415,0.0419,0.0424,0.0429,0.0432,0.0437,0.0441,0.0445,0.045,0.0464,0.0474,0.0481,0.0487,0.0492,0.05,0.0506,0.0511,0.0517,0.0521,0.0526,0.0532,0.0537,0.0543,0.0551
No Tsamud,5,0.0365,0.038,0.0418,0.0424,0.043,0.0433,0.0436,0.0442,0.0447,0.0451,0.0456,0.0461,0.0481,0.0489,0.0496,0.0504,0.0511,0.0516,0.0524,0.0532,0.0537,0.0543,0.0549,0.0554,0.0558,0.0563,0.057
No Tsamud,6,0.038,0.039,0.0426,0.0432,0.0438,0.0442,0.0447,0.0453,0.0457,0.0462,0.0468,0.0472,0.0499,0.0506,0.0512,0.0516,0.0525,0.0548,0.0556,0.0563,0.0567,0.057,0.0579,0.0586,0.059,0.0596,0.0602
Alternate,1,0.011,0.0388,0,0,0,0.0299,0,0,,,,,,,,,,,,,,,,,,,
Alternate,2,0.012,0.0403,0,0,0,0.0313,0,0,,,,,,,,,,,,,,,,,,,
Alternate,3,0.013,0.0415,0,0,0,0.0326,0,0,,,,,,,,,,,,,,,,,,,
Alternate,4,0.014,0.0431,0,0,0,0.0341,0,0,,,,,,,,,,,,,,,,,,,
Alternate,5,0.015,0.0454,0,0,0,0.0357,0,0,,,,,,,,,,,,,,,,,,,
Alternate,6,0.016,0.0468,0,0,0,0.0372,0,0,,,,,,,,,,,,,,,,,,,
